"Numero";"Url"
"67";"http://www2.zelo.com.br/colcha-matelasse-zelo-select-maquinetado-casal-com-2-porta-travesseiros---percal-400-fios,product,24055,dept,10050003.aspx"
"68";"http://www2.zelo.com.br/product.aspx?idProduct=24055&iddept=10050003"
"69";"http://www2.zelo.com.br/jogo-de-cama-zelo-select-maquinetado-casal---percal-400-fios---toque-acetinado,product,18126,dept,10010003.aspx"
"70";"http://www2.zelo.com.br/product.aspx?idProduct=18126&iddept=10010003"
"71";"http://www2.zelo.com.br/porta-travesseiro-050x070m-zelo-select-maquinetado---percal-400-fios---toque-acetinado,product,23819,dept,100100900.aspx"
"72";"http://www2.zelo.com.br/product.aspx?idProduct=23819&iddept=100100900"
"73";"http://www2.zelo.com.br/travesseiro-buddemeyer-toque-de-pluma-050x070m,product,18924,dept,10100005.aspx"
"74";"http://www2.zelo.com.br/product.aspx?idProduct=18924&iddept=10100005"
"75";"http://www2.zelo.com.br/fronha-naturalle-fashion-para-travesseiro-050x070m---percal-200-fios--100-algodao-fio-penteado,product,22629,dept,100100800.aspx"
"76";"http://www2.zelo.com.br/product.aspx?idProduct=22629&iddept=100100800"
"77";"http://www2.zelo.com.br/lencol-naturalle-fashion-com-elastico-solteiro---percal-200-fios-100-algodao--fio-penteado,product,22627,dept,10020004.aspx"
"78";"http://www2.zelo.com.br/product.aspx?idProduct=22627&iddept=10020004"
"79";"http://www2.zelo.com.br/basket.aspx"
"80";"http://www2.zelo.com.br/wishlist.aspx"
"81";"http://www2.zelo.com.br/weddingListHome.aspx"
"82";"http://www2.zelo.com.br/dept.aspx?page=1&sort=3&qty=75&idDept=19990014"
"83";"http://www2.zelo.com.br/dept.aspx?iddept=19990014"
"84";"http://www2.zelo.com.br/dept.aspx?page=2&sort=3&qty=18&iddept=19990014"
"85";"http://www2.zelo.com.br/dept.aspx?page=3&sort=3&qty=18&iddept=19990014"
"86";"http://www2.zelo.com.br/dept.aspx?page=1&sort=3&qty=18&iddept=19990014"
"87";"http://www2.zelo.com.br/cortina-rustica-bella-janela-420x250m,product,25527,dept,19990014.aspx"
"88";"http://www2.zelo.com.br/product.aspx?idProduct=25527&iddept=19990014"
"89";"http://www2.zelo.com.br/dept.aspx?page=1&sort=6&qty=18&idDept=100300600"
"90";"http://www2.zelo.com.br/dept.aspx?iddept=100300600"
"91";"http://www2.zelo.com.br/kit-lavabo-buddemeyer-princess-2-pecas,product,12236,dept,100300600.aspx"
"92";"http://www2.zelo.com.br/product.aspx?idProduct=12236&iddept=100300600"
"93";"http://www2.zelo.com.br/toalha-de-lavabo-buddemeyer---100-algodao-egipcio---fio-penteado,product,2734,dept,100300600.aspx"
"94";"http://www2.zelo.com.br/product.aspx?idProduct=2734&iddept=100300600"
"95";"http://www2.zelo.com.br/toalha-de-lavabo-karsten-paola-para-bordar---gramatura-360gm²,product,23398,dept,100300600.aspx"
"96";"http://www2.zelo.com.br/product.aspx?idProduct=23398&iddept=100300600"
"97";"http://www2.zelo.com.br/toalha-de-banho-karsten-paola-para-bordar---gramatura-360gm²,product,23390,dept,100300201.aspx"
"98";"http://www2.zelo.com.br/product.aspx?idProduct=23390&iddept=100300201"
"99";"http://www2.zelo.com.br/listgroup.aspx?page=1&sort=3&qty=50&idListGroup=SaudeBem"
"100";"http://www2.zelo.com.br/barra-de-apoio-stand-up---health-care,product,21730,dept,100600100.aspx"
"101";"http://www2.zelo.com.br/product.aspx?idProduct=21730&iddept=100600100"
"102";"http://www2.zelo.com.br/suporte-terapeutico-posicionador-antirrefluxo-infantil---health-care,product,21735,dept,100600100.aspx"
"103";"http://www2.zelo.com.br/product.aspx?idProduct=21735&iddept=100600100"
"104";"http://www2.zelo.com.br/cinta-completa-curta-macom---tamanho-p,product,22378,dept,100600100.aspx"
"105";"http://www2.zelo.com.br/product.aspx?idProduct=22378&iddept=100600100"
"106";"http://www2.zelo.com.br/cinta-completa-curta-macom---tamanho-g,product,22376,dept,100600100.aspx"
"107";"http://www2.zelo.com.br/product.aspx?idProduct=22376&iddept=100600100"
"108";"http://www2.zelo.com.br/protetor-para-colchao-altenburg-pro-saude-casal---impermeavel,product,20678,dept,10150003.aspx"
"109";"http://www2.zelo.com.br/product.aspx?idProduct=20678&iddept=10150003"
"110";"http://www2.zelo.com.br/travesseiro-duoflex-molas-anatomico-040x054m,product,12016,dept,10100005.aspx"
"111";"http://www2.zelo.com.br/product.aspx?idProduct=12016&iddept=10100005"
"112";"http://www2.zelo.com.br/capa-protetora-para-travesseiro-kacyumara---malha-impermeavel,product,10899,dept,100100800.aspx"
"113";"http://www2.zelo.com.br/product.aspx?idProduct=10899&iddept=100100800"
"114";"http://www2.zelo.com.br/protetor-para-colchao-de-malha-matelado-tecebem-impermeavel-queen,product,14236,dept,10150002.aspx"
"115";"http://www2.zelo.com.br/product.aspx?idProduct=14236&iddept=10150002"
"116";"http://www2.zelo.com.br/jogo-de-cama-alexandre-herchcovitch-queen----percal-180-fios-100-algodao,product,286,dept,10010002.aspx"
"117";"http://www2.zelo.com.br/product.aspx?idProduct=286&iddept=10010002"
"118";"http://www2.zelo.com.br/saia-para-cama-zelo-linha-box-queen,product,11833,dept,10110002.aspx"
"119";"http://www2.zelo.com.br/product.aspx?idProduct=11833&iddept=10110002"
"120";"http://www2.zelo.com.br/jogo-de-cama-zelo-select-maquinetado-queen---percal-400-fios---toque-acetinado,product,10067,dept,10010002.aspx"
"121";"http://www2.zelo.com.br/product.aspx?idProduct=10067&iddept=10010002"
"122";"http://www2.zelo.com.br/edredom-zelo-select-maquinetado-queen---percal-400-fios---toque-acetinado,product,7239,dept,10030002.aspx"
"123";"http://www2.zelo.com.br/product.aspx?idProduct=7239&iddept=10030002"
"124";"http://www2.zelo.com.br/porta-travesseiro-050x070m-zelo-select-maquinetado---percal-400-fios---toque-acetinado,product,23715,dept,100100900.aspx"
"125";"http://www2.zelo.com.br/product.aspx?idProduct=23715&iddept=100100900"
"126";"http://www2.zelo.com.br/edredom-zelo-select-maquinetado-casal---percal-400-fios---toque-acetinado,product,15313,dept,10030003.aspx"
"127";"http://www2.zelo.com.br/product.aspx?idProduct=15313&iddept=10030003"
"128";"http://www2.zelo.com.br/fronha-zelo-select-maquinetado-para-travesseiro-050x070m---percal-400-fios---toque-acetinado,product,10184,dept,100100800.aspx"
"129";"http://www2.zelo.com.br/product.aspx?idProduct=10184&iddept=100100800"
"130";"http://www2.zelo.com.br/travesseiro-zelo-viscoelastico-042x062m---malha-de-bambu,product,6228,dept,10100005.aspx"
"131";"http://www2.zelo.com.br/product.aspx?idProduct=6228&iddept=10100005"
"132";"http://www2.zelo.com.br/colcha-matelasse-zelo-select-maquinetado-queen-com-2-porta-travesseiros---percal-400-fios,product,23783,dept,10050002.aspx"
"133";"http://www2.zelo.com.br/product.aspx?idProduct=23783&iddept=10050002"
"134";"http://www2.zelo.com.br/fronha-zelo-select-lisa-para-travesseiro-050x070m---percal-400-fios---toque-acetinado,product,10959,dept,100100800.aspx"
"135";"http://www2.zelo.com.br/product.aspx?idProduct=10959&iddept=100100800"
"136";"http://www2.zelo.com.br/jogo-de-cama-zelo-select-maquinetado-solteiro---percal-400-fios---toque-acetinado,product,25885,dept,10010004.aspx"
"137";"http://www2.zelo.com.br/product.aspx?idProduct=25885&iddept=10010004"
"138";"http://www2.zelo.com.br/colcha-de-matelasse-zelo-select-maquinetado-solteiro-com-1-porta-travesseiro---percal-400-fios,product,23787,dept,10050004.aspx"
"139";"http://www2.zelo.com.br/product.aspx?idProduct=23787&iddept=10050004"
"140";"http://www2.zelo.com.br/jogo-de-cama-zelo-select-maquinetado-solteiro-king---percal-400-fios---toque-acetinado,product,11630,dept,10010045.aspx"
"141";"http://www2.zelo.com.br/product.aspx?idProduct=11630&iddept=10010045"
"142";"http://www2.zelo.com.br/protetor-para-colchao-de-malha-matelado-tecebem-impermeavel-solteiro-king,product,14238,dept,10150005.aspx"
"143";"http://www2.zelo.com.br/product.aspx?idProduct=14238&iddept=10150005"
"144";"http://www2.zelo.com.br/jogo-de-cama-alexandre-herchcovitch-solteiro-king---percal-180---100-algodao,product,3851,dept,10010045.aspx"
"145";"http://www2.zelo.com.br/product.aspx?idProduct=3851&iddept=10010045"
"146";"http://www2.zelo.com.br/edredom-zelo-select-maquinetado-solteiro---percal-400-fios---toque-acetinado,product,10888,dept,10030004.aspx"
"147";"http://www2.zelo.com.br/product.aspx?idProduct=10888&iddept=10030004"
"148";"http://www2.zelo.com.br/jogo-de-cama-zelo-select-maquinetado-king---percal-400-fios---toque-acetinado,product,10063,dept,10010001.aspx"
"149";"http://www2.zelo.com.br/product.aspx?idProduct=10063&iddept=10010001"
"150";"http://www2.zelo.com.br/protetor-para-colchao-de-malha-matelado-tecebem-impermeavel-king,product,14235,dept,10150001.aspx"
"151";"http://www2.zelo.com.br/product.aspx?idProduct=14235&iddept=10150001"
"152";"http://www2.zelo.com.br/saia-para-cama-zelo-linha-box-king,product,11831,dept,10110001.aspx"
"153";"http://www2.zelo.com.br/product.aspx?idProduct=11831&iddept=10110001"
"154";"http://www2.zelo.com.br/jogo-de-cama-zelo-select-maquinetado-king---percal-400-fios---toque-acetinado,product,12097,dept,10010001.aspx"
"155";"http://www2.zelo.com.br/product.aspx?idProduct=12097&iddept=10010001"
"156";"http://www2.zelo.com.br/porta-travesseiro-050x070m-zelo-select-maquinetado---percal-400-fios---toque-acetinado,product,23716,dept,100100900.aspx"
"157";"http://www2.zelo.com.br/product.aspx?idProduct=23716&iddept=100100900"
"158";"http://www2.zelo.com.br/edredom-zelo-select-maquinetado-casal---percal-400-fios---toque-acetinado,product,15314,dept,10030003.aspx"
"159";"http://www2.zelo.com.br/product.aspx?idProduct=15314&iddept=10030003"
"160";"http://www2.zelo.com.br/fronha-zelo-select-maquinetado-para-travesseiro-050x070m---percal-400-fios---toque-acetinado,product,14388,dept,100100800.aspx"
"161";"http://www2.zelo.com.br/product.aspx?idProduct=14388&iddept=100100800"
"162";"http://www2.zelo.com.br/edredom-zelo-select-maquinetado-solteiro---percal-400-fios---toque-acetinado,product,12121,dept,10030004.aspx"
"163";"http://www2.zelo.com.br/product.aspx?idProduct=12121&iddept=10030004"
"164";"http://www2.zelo.com.br/edredom-zelo-select-maquinetado-king---percal-400-fios---toque-acetinado,product,12113,dept,10030001.aspx"
"165";"http://www2.zelo.com.br/product.aspx?idProduct=12113&iddept=10030001"
"166";"http://www2.zelo.com.br/jogo-de-cama-zelo-select-maquinetado-casal---percal-400-fios---toque-acetinado,product,12105,dept,10010003.aspx"
"167";"http://www2.zelo.com.br/product.aspx?idProduct=12105&iddept=10010003"
"168";"http://www2.zelo.com.br/protetor-para-colchao-de-malha-matelado-tecebem-impermeavel-casal,product,14237,dept,10150003.aspx"
"169";"http://www2.zelo.com.br/product.aspx?idProduct=14237&iddept=10150003"
"170";"http://www2.zelo.com.br/saia-para-cama-zelo-linha-box-casal,product,11839,dept,10110003.aspx"
"171";"http://www2.zelo.com.br/product.aspx?idProduct=11839&iddept=10110003"
"172";"http://www2.zelo.com.br/fronha-zelo-select-lisa-para-travesseiro-050x070m---percal-400-fios---toque-acetinado,product,14783,dept,100100800.aspx"
"173";"http://www2.zelo.com.br/product.aspx?idProduct=14783&iddept=100100800"
"174";"http://www2.zelo.com.br/jogo-de-cama-zelo-select-maquinetado-solteiro---percal-400-fios---toque-acetinado,product,25886,dept,10010004.aspx"
"175";"http://www2.zelo.com.br/product.aspx?idProduct=25886&iddept=10010004"
"176";"http://www2.zelo.com.br/jogo-de-cama-zelo-select-maquinetado-queen---percal-400-fios---toque-acetinado,product,12101,dept,10010002.aspx"
"177";"http://www2.zelo.com.br/product.aspx?idProduct=12101&iddept=10010002"
"178";"http://www2.zelo.com.br/edredom-zelo-select-maquinetado-queen---percal-400-fios---toque-acetinado,product,12118,dept,10030002.aspx"
"179";"http://www2.zelo.com.br/product.aspx?idProduct=12118&iddept=10030002"
"180";"http://www2.zelo.com.br/edredom-zelo-select-maquinetado-king---percal-400-fios---toque-acetinado,product,7238,dept,10030001.aspx"
"181";"http://www2.zelo.com.br/product.aspx?idProduct=7238&iddept=10030001"
"182";"http://www2.zelo.com.br/colcha-matelasse-zelo-select-maquinetado-king-com-2-porta-travesseiros---percal-400-fios,product,23781,dept,10050001.aspx"
"183";"http://www2.zelo.com.br/product.aspx?idProduct=23781&iddept=10050001"
"184";"http://www2.zelo.com.br/edredom-alexandre-herchcovitch-queen---percal-180-fios-100-algodao,product,295,dept,10030002.aspx"
"185";"http://www2.zelo.com.br/product.aspx?idProduct=295&iddept=10030002"
"186";"http://www2.zelo.com.br/travesseiro-ions-de-prata-050x070m,product,20555,dept,10100005.aspx"
"187";"http://www2.zelo.com.br/product.aspx?idProduct=20555&iddept=10100005"
"188";"http://www2.zelo.com.br/travesseiro-de-malha-zelo-050x070m,product,13669,dept,10100005.aspx"
"189";"http://www2.zelo.com.br/product.aspx?idProduct=13669&iddept=10100005"
"190";"http://www2.zelo.com.br/sutia-com-bojo-pre-moldado-macom---tamanho-p,product,22384,dept,100600100.aspx"
"191";"http://www2.zelo.com.br/product.aspx?idProduct=22384&iddept=100600100"
"192";"http://www2.zelo.com.br/sutia-com-bojo-pre-moldado-macom---tamanho-m,product,22383,dept,100600100.aspx"
"193";"http://www2.zelo.com.br/product.aspx?idProduct=22383&iddept=100600100"
"194";"http://www2.zelo.com.br/sutia-com-bojo-pre-moldado-macom---tamanho-g,product,22382,dept,100600100.aspx"
"195";"http://www2.zelo.com.br/product.aspx?idProduct=22382&iddept=100600100"
"196";"http://www2.zelo.com.br/tipoia-imobilizadora-para-membro-inferior---dupla---tamanho-g,product,22366,dept,100600100.aspx"
"197";"http://www2.zelo.com.br/product.aspx?idProduct=22366&iddept=100600100"
"198";"http://www2.zelo.com.br/tipoia-imobilizadora-para-membro-inferior---dupla---tamanho-m,product,22363,dept,100600100.aspx"
"199";"http://www2.zelo.com.br/product.aspx?idProduct=22363&iddept=100600100"
"200";"http://www2.zelo.com.br/meias-pro-diabetic-cano-longo---tamanho-35-a-38,product,22191,dept,100600100.aspx"
"201";"http://www2.zelo.com.br/product.aspx?idProduct=22191&iddept=100600100"
"202";"http://www2.zelo.com.br/tela-mosquiteiro-kit-fly-stop-para-janelas---120x210m,product,22635,dept,100600100.aspx"
"203";"http://www2.zelo.com.br/product.aspx?idProduct=22635&iddept=100600100"
"204";"http://www2.zelo.com.br/tala-para-punho-direito---tamanho-g,product,22368,dept,100600100.aspx"
"205";"http://www2.zelo.com.br/product.aspx?idProduct=22368&iddept=100600100"
"206";"http://www2.zelo.com.br/tala-para-punho-direito---tamanho-m,product,22367,dept,100600100.aspx"
"207";"http://www2.zelo.com.br/product.aspx?idProduct=22367&iddept=100600100"
"208";"http://www2.zelo.com.br/tela-mosquiteiro-kit-fly-stop-para-janelas---120x120m,product,22634,dept,100600100.aspx"
"209";"http://www2.zelo.com.br/product.aspx?idProduct=22634&iddept=100600100"
"210";"http://www2.zelo.com.br/tornozeleira-em-neoprene---tamanho-g,product,22375,dept,100600100.aspx"
"211";"http://www2.zelo.com.br/product.aspx?idProduct=22375&iddept=100600100"
"212";"http://www2.zelo.com.br/tornozeleira-em-neoprene---tamanho-m,product,22374,dept,100600100.aspx"
"213";"http://www2.zelo.com.br/product.aspx?idProduct=22374&iddept=100600100"
"214";"http://www2.zelo.com.br/joelheira-de-neoprene---tamanho-m,product,22372,dept,100600100.aspx"
"215";"http://www2.zelo.com.br/product.aspx?idProduct=22372&iddept=100600100"
"216";"http://www2.zelo.com.br/cotoveleira-neoprene---tamanho-m,product,22369,dept,100600100.aspx"
"217";"http://www2.zelo.com.br/product.aspx?idProduct=22369&iddept=100600100"
"218";"http://www2.zelo.com.br/puff,dept,100700100.aspx"
"219";"http://www2.zelo.com.br/dept.aspx?iddept=100700100"
"220";"http://www2.zelo.com.br/puff-bau-desmontavel---paris,product,25248,dept,100700100.aspx"
"221";"http://www2.zelo.com.br/product.aspx?idProduct=25248&iddept=100700100"
"222";"http://www2.zelo.com.br/acessorios,dept,100499901.aspx"
"223";"http://www2.zelo.com.br/dept.aspx?iddept=100499901"
"224";"http://www2.zelo.com.br/protetor-para-berco-malha-100-algodao---ursinho-brincalhao,product,22734,dept,100499901.aspx"
"225";"http://www2.zelo.com.br/product.aspx?idProduct=22734&iddept=100499901"
"226";"http://www2.zelo.com.br/protetor-para-berco-malha-100-algodao---ternura,product,22735,dept,100499901.aspx"
"227";"http://www2.zelo.com.br/product.aspx?idProduct=22735&iddept=100499901"
"228";"http://www2.zelo.com.br/trocador-de-fraldas-malha-impermeavel---ternura,product,22733,dept,100499901.aspx"
"229";"http://www2.zelo.com.br/product.aspx?idProduct=22733&iddept=100499901"
"230";"http://www2.zelo.com.br/protetor-para-berco-malha-100-algodao---ursinho-jardineiro,product,25385,dept,100499901.aspx"
"231";"http://www2.zelo.com.br/product.aspx?idProduct=25385&iddept=100499901"
"232";"http://www2.zelo.com.br/kit-para-carrinho-malha-100-algodao---ursinho-jardineiro,product,25399,dept,100499901.aspx"
"233";"http://www2.zelo.com.br/product.aspx?idProduct=25399&iddept=100499901"
"234";"http://www2.zelo.com.br/almofada-de-amamentacao-lynel---ursinho-jardineiro,product,25395,dept,100400760.aspx"
"235";"http://www2.zelo.com.br/product.aspx?idProduct=25395&iddept=100400760"
"236";"http://www2.zelo.com.br/kit-fraldinha-de-boca--02-pecas---ursinho-jardineiro,product,25391,dept,100402111.aspx"
"237";"http://www2.zelo.com.br/product.aspx?idProduct=25391&iddept=100402111"
"238";"http://www2.zelo.com.br/trocador-de-fraldas-malha-impermeavel---ursinho-jardineiro,product,25381,dept,100499901.aspx"
"239";"http://www2.zelo.com.br/product.aspx?idProduct=25381&iddept=100499901"
"240";"http://www2.zelo.com.br/kit-para-carrinho-malha-100-algodao---menininho-nautico,product,25398,dept,100499901.aspx"
"241";"http://www2.zelo.com.br/product.aspx?idProduct=25398&iddept=100499901"
"242";"http://www2.zelo.com.br/almofada-de-amamentacao-lynel---menininho-nautico,product,25394,dept,100400760.aspx"
"243";"http://www2.zelo.com.br/product.aspx?idProduct=25394&iddept=100400760"
"244";"http://www2.zelo.com.br/kit-fraldinha-de-boca--02-pecas---menininho-nautico,product,25390,dept,100402111.aspx"
"245";"http://www2.zelo.com.br/product.aspx?idProduct=25390&iddept=100402111"
"246";"http://www2.zelo.com.br/protetor-para-berco-malha-100-algodao---menininho-nautico,product,25387,dept,100499901.aspx"
"247";"http://www2.zelo.com.br/product.aspx?idProduct=25387&iddept=100499901"
"248";"http://www2.zelo.com.br/trocador-de-fraldas-malha-impermeavel---menininho-nautico,product,25383,dept,100499901.aspx"
"249";"http://www2.zelo.com.br/product.aspx?idProduct=25383&iddept=100499901"
"250";"http://www2.zelo.com.br/capa-para-sofa,dept,100101450.aspx"
"251";"http://www2.zelo.com.br/dept.aspx?iddept=100101450"
"252";"http://www2.zelo.com.br/kit-capa-de-sofa-malha-mescla---triade-textil,product,25906,dept,100101450.aspx"
"253";"http://www2.zelo.com.br/product.aspx?idProduct=25906&iddept=100101450"
"254";"http://www2.zelo.com.br/kit-capa-de-sofa---hedrons,product,24163,dept,100101450.aspx"
"255";"http://www2.zelo.com.br/product.aspx?idProduct=24163&iddept=100101450"
"256";"http://www2.zelo.com.br/dept.aspx?page=1&sort=3&qty=72&idDept=100400760"
"257";"http://www2.zelo.com.br/dept.aspx?iddept=100400760"
"258";"http://www2.zelo.com.br/dept.aspx?page=2&sort=3&qty=18&iddept=100400760"
"259";"http://www2.zelo.com.br/dept.aspx?page=1&sort=3&qty=18&iddept=100400760"
"260";"http://www2.zelo.com.br/almofada-emoji---cocozinho,product,24384,dept,100101150.aspx"
